"occurrenceID","scientificName","scientificNameID","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","country","locality","geodeticDatum","eventDate","verbatimDepth","minimumDepthInMeters","maximumDepthInMeters","recordedBy","organismQuantity","occurrenceStatus","basisOfRecord","organismQuantityType","sampleSizeUnit","sampleSizeValue","materialSampleID","associatedSequences","identificationRemarks","taxonID"
"ac09967beb89ae73a6f52e7ba48355e7","Sardina pilchardus","urn:lsid:marinespecies.org:taxname:126421",39.4253611111111,-9.51502777777778,50,"Portugal","Berlengas Biosphere Reserve","WGS84","2020-01","10-20 m",10,20,"Research Team",189,"present","MaterialSample","DNA sequence reads","DNA sequence reads",60092,"https://www.ncbi.nlm.nih.gov/biosample/SAMN41345430","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1110393","Taxonomic classification confidence (at lowest specified taxon): 0.97 at species level, 0.90 at genus level, using BLAST in QIIME 2 against NCBI and MitoFish reference databases. Unassigned ASVs and non-fish species excluded. Cross-validation performed using WoRMS, OBIS, and FishBase.","OTU212"
"9133f272bc630842f5dd503bed24b679","Dicentrarchus labrax","urn:lsid:marinespecies.org:taxname:126975",39.4253611111111,-9.51502777777778,50,"Portugal","Berlengas Biosphere Reserve","WGS84","2020-01","10-20 m",10,20,"Research Team",269,"present","MaterialSample","DNA sequence reads","DNA sequence reads",60092,"https://www.ncbi.nlm.nih.gov/biosample/SAMN41345430","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1110393","Taxonomic classification confidence (at lowest specified taxon): 0.97 at species level, 0.90 at genus level, using BLAST in QIIME 2 against NCBI and MitoFish reference databases. Unassigned ASVs and non-fish species excluded. Cross-validation performed using WoRMS, OBIS, and FishBase.","OTU213"
"8d62db8bda4b8bce476ecca23a5b4c43","Sardina pilchardus","urn:lsid:marinespecies.org:taxname:126421",39.4253611111111,-9.51502777777778,50,"Portugal","Berlengas Biosphere Reserve","WGS84","2020-01","10-20 m",10,20,"Research Team",172,"present","MaterialSample","DNA sequence reads","DNA sequence reads",60092,"https://www.ncbi.nlm.nih.gov/biosample/SAMN41345430","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1110393","Taxonomic classification confidence (at lowest specified taxon): 0.97 at species level, 0.90 at genus level, using BLAST in QIIME 2 against NCBI and MitoFish reference databases. Unassigned ASVs and non-fish species excluded. Cross-validation performed using WoRMS, OBIS, and FishBase.","OTU243"
"8f002f4451111e3d0ded3bb775a08fe5","Gadus morhua","urn:lsid:marinespecies.org:taxname:126436",39.4253611111111,-9.51502777777778,50,"Portugal","Berlengas Biosphere Reserve","WGS84","2020-01","10-20 m",10,20,"Research Team",1832,"present","MaterialSample","DNA sequence reads","DNA sequence reads",60092,"https://www.ncbi.nlm.nih.gov/biosample/SAMN41345430","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1110393","Taxonomic classification confidence (at lowest specified taxon): 0.97 at species level, 0.90 at genus level, using BLAST in QIIME 2 against NCBI and MitoFish reference databases. Unassigned ASVs and non-fish species excluded. Cross-validation performed using WoRMS, OBIS, and FishBase.","OTU257"
"c70a84d5b596fa9ff20de671bca82cbf","Sardina pilchardus","urn:lsid:marinespecies.org:taxname:126421",39.4253611111111,-9.51502777777778,50,"Portugal","Berlengas Biosphere Reserve","WGS84","2020-01","10-20 m",10,20,"Research Team",294,"present","MaterialSample","DNA sequence reads","DNA sequence reads",60092,"https://www.ncbi.nlm.nih.gov/biosample/SAMN41345430","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1110393","Taxonomic classification confidence (at lowest specified taxon): 0.97 at species level, 0.90 at genus level, using BLAST in QIIME 2 against NCBI and MitoFish reference databases. Unassigned ASVs and non-fish species excluded. Cross-validation performed using WoRMS, OBIS, and FishBase.","OTU262"
"e2d0d29f13c17cdeb5a9a7849c891d48","Diplodus puntazzo","urn:lsid:marinespecies.org:taxname:127052",39.4253611111111,-9.51502777777778,50,"Portugal","Berlengas Biosphere Reserve","WGS84","2020-01","10-20 m",10,20,"Research Team",149,"present","MaterialSample","DNA sequence reads","DNA sequence reads",60092,"https://www.ncbi.nlm.nih.gov/biosample/SAMN41345430","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1110393","Taxonomic classification confidence (at lowest specified taxon): 0.97 at species level, 0.90 at genus level, using BLAST in QIIME 2 against NCBI and MitoFish reference databases. Unassigned ASVs and non-fish species excluded. Cross-validation performed using WoRMS, OBIS, and FishBase.","OTU296"
"7a198e88f53b551233307d1f2dac9b47","Sardina pilchardus","urn:lsid:marinespecies.org:taxname:126421",39.4253611111111,-9.51502777777778,50,"Portugal","Berlengas Biosphere Reserve","WGS84","2020-01","10-20 m",10,20,"Research Team",281,"present","MaterialSample","DNA sequence reads","DNA sequence reads",60092,"https://www.ncbi.nlm.nih.gov/biosample/SAMN41345430","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1110393","Taxonomic classification confidence (at lowest specified taxon): 0.97 at species level, 0.90 at genus level, using BLAST in QIIME 2 against NCBI and MitoFish reference databases. Unassigned ASVs and non-fish species excluded. Cross-validation performed using WoRMS, OBIS, and FishBase.","OTU377"
"dc939f90ce7c0991eda44b8f8bff9940","Sardina pilchardus","urn:lsid:marinespecies.org:taxname:126421",39.4253611111111,-9.51502777777778,50,"Portugal","Berlengas Biosphere Reserve","WGS84","2020-01","10-20 m",10,20,"Research Team",30881,"present","MaterialSample","DNA sequence reads","DNA sequence reads",60092,"https://www.ncbi.nlm.nih.gov/biosample/SAMN41345430","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1110393","Taxonomic classification confidence (at lowest specified taxon): 0.97 at species level, 0.90 at genus level, using BLAST in QIIME 2 against NCBI and MitoFish reference databases. Unassigned ASVs and non-fish species excluded. Cross-validation performed using WoRMS, OBIS, and FishBase.","OTU450"
"7844afe65ae9e284655446513ad15cc0","Xiphias gladius","urn:lsid:marinespecies.org:taxname:127094",39.4253611111111,-9.51502777777778,50,"Portugal","Berlengas Biosphere Reserve","WGS84","2020-01","10-20 m",10,20,"Research Team",2157,"present","MaterialSample","DNA sequence reads","DNA sequence reads",60092,"https://www.ncbi.nlm.nih.gov/biosample/SAMN41345430","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1110393","Taxonomic classification confidence (at lowest specified taxon): 0.97 at species level, 0.90 at genus level, using BLAST in QIIME 2 against NCBI and MitoFish reference databases. Unassigned ASVs and non-fish species excluded. Cross-validation performed using WoRMS, OBIS, and FishBase.","OTU488"
"56f685d5237b52d18e6b1da20b2b1025","Sardina pilchardus","urn:lsid:marinespecies.org:taxname:126421",39.4253611111111,-9.51502777777778,50,"Portugal","Berlengas Biosphere Reserve","WGS84","2020-01","10-20 m",10,20,"Research Team",106,"present","MaterialSample","DNA sequence reads","DNA sequence reads",60092,"https://www.ncbi.nlm.nih.gov/biosample/SAMN41345430","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1110393","Taxonomic classification confidence (at lowest specified taxon): 0.97 at species level, 0.90 at genus level, using BLAST in QIIME 2 against NCBI and MitoFish reference databases. Unassigned ASVs and non-fish species excluded. Cross-validation performed using WoRMS, OBIS, and FishBase.","OTU521"
